date,time,day,weather,passenger_count,fuel_used_liters,trip_time_minutes,delay_minutes
2026-06-01,07:30,Monday,Sunny,38,8.5,65,5
2026-06-01,09:00,Monday,Sunny,20,7.0,60,0
2026-06-01,18:00,Monday,Rainy,52,9.5,80,15
2026-06-02,07:30,Tuesday,Sunny,40,8.2,66,4
2026-06-02,09:00,Tuesday,Cloudy,22,7.1,62,2
2026-06-02,18:00,Tuesday,Rainy,55,9.7,82,18
2026-06-03,07:30,Wednesday,Sunny,42,8.4,64,3
2026-06-03,09:00,Wednesday,Sunny,19,7.0,59,0
2026-06-03,18:00,Wednesday,Rainy,58,9.8,85,20
2026-06-04,07:30,Thursday,Cloudy,39,8.3,67,5
2026-06-04,18:00,Thursday,Rainy,60,10.0,88,22
2026-06-05,07:30,Friday,Sunny,45,8.6,66,4
2026-06-05,18:00,Friday,Rainy,65,10.2,90,25
2026-06-06,08:00,Saturday,Sunny,50,8.9,68,3
2026-06-06,18:00,Saturday,Cloudy,62,9.6,84,14
2026-06-07,08:00,Sunday,Sunny,30,7.5,61,0
2026-06-07,18:00,Sunday,Rainy,48,9.0,79,12
